16;1;Poireaux BIO - 1kg;32;3.25;1;3.90;1;100;1;Poireaux BIO - 1kg - Légumes;Poireaux BIO - 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
17;1;Chou Romanesco BIO - La pièce;32;3.33;1;4.00;1;100;1;Chou Romanesco BIO - La pièce - Légumes;Chou Romanesco BIO - La pièce - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
18;1;Brocolis BIO - la pièce;32;2.96;1;3.55;1;100;1;Brocolis BIO - la pièce - Légumes;Brocolis BIO - la pièce - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
19;1;Choux de Bruxelles BIO - 500g;32;3.33;1;3.99;1;100;1;Choux de Bruxelles BIO - 500g - Légumes;Choux de Bruxelles BIO - 500g - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
20;1;Pommes de terre Ditta BIO - 1 kg;32;2.42;1;2.90;1;100;1;Pommes de terre Ditta BIO - 1 kg - Légumes;Pommes de terre Ditta BIO - 1 kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
21;1;Pommes de terre Désirée BIO - 1 kg;32;2.42;1;2.90;1;100;1;Pommes de terre Désirée BIO - 1 kg - Légumes;Pommes de terre Désirée BIO - 1 kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
22;1;Patates douces BIO de l'Ariège - 1kg;32;3.75;1;4.50;1;100;1;Patates douces BIO de l'Ariège - 1kg - Légumes;Patates douces BIO de l'Ariège - 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
23;1;Patates douces blanches BIO de l'Ariège- 1kg;32;3.75;1;4.50;1;100;1;Patates douces blanches BIO de l'Ariège- 1kg - Légumes;Patates douces blanches BIO de l'Ariège- 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
24;1;Patates douces violettes BIO de l'Ariège- 1kg;32;3.75;1;4.50;1;100;1;Patates douces violettes BIO de l'Ariège- 1kg - Légumes;Patates douces violettes BIO de l'Ariège- 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
25;1;Oignon jaune BIO - 1kg;32;2.75;1;3.30;1;100;1;Oignon jaune BIO - 1kg - Légumes;Oignon jaune BIO - 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
26;1;Oignons rouges BIO - 1kg;32;3.00;1;3.60;1;100;1;Oignons rouges BIO - 1kg - Légumes;Oignons rouges BIO - 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
27;1;Navet violet BIO - 500g;32;1.38;1;1.66;1;100;1;Navet violet BIO - 500g - Légumes;Navet violet BIO - 500g - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
28;1;Champignons de Paris blonds BIO - 250g;32;2.45;1;2.94;1;100;1;Champignons de Paris blonds BIO - 250g - Légumes;Champignons de Paris blonds BIO - 250g - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
29;1;Betteraves BIO - env 1kg;32;2.46;1;2.95;1;100;1;Betteraves BIO - env 1kg - Légumes;Betteraves BIO - env 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
30;1;Potimarron Bio - Pièce - 500g;32;0.83;1;1.00;1;100;1;Potimarron Bio - Pièce - 500g - Légumes;Potimarron Bio - Pièce - 500g - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
31;1;Potimarron Bio - Pièce environ 1kg;32;3.23;1;3.87;1;100;1;Potimarron Bio - Pièce environ 1kg - Légumes;Potimarron Bio - Pièce environ 1kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
32;1;Courge Butternut bio - env 800g;32;2.00;1;2.40;1;100;1;Courge Butternut bio - env 800g - Légumes;Courge Butternut bio - env 800g - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
36;1;Pommes de terre Charlotte BIO - 1 kg;32;2.08;1;2.50;1;100;1;Pommes de terre Charlotte BIO - 1 kg - Légumes;Pommes de terre Charlotte BIO - 1 kg - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
37;1;Celeri branche bio - la pièce;32;3.33;1;4.00;1;100;1;Celeri branche bio - la pièce - Légumes;Celeri branche bio - la pièce - Légumes;https://bocodrive.fr/img/drive/produits/fruits-et-legumes/legumes/legumes.jpg
